area
Российская Федерация
Центральный федеральный округ
Белгородская область
Брянская область
Владимирская область
Воронежская область
Ивановская область
Калужская область
Костромская область
Курская область
Липецкая область
Московская область
Орловская область
Рязанская область
Смоленская область
Тамбовская область
Тверская область
Тульская область
Ярославская область
г.Москва
Северо-Западный федеральный округ
Республика Карелия
Республика Коми
Архангельская область
Ненецкий автономный округ
Архангельская область (кроме Ненецкого автономного округа)
Вологодская область
Калининградская область
Ленинградская область
Мурманская область
Новгородская область
Псковская область
г.Санкт-Петербург
Южный федеральный округ
Республика Адыгея
Республика Калмыкия
Республика Крым
Краснодарский край
Астраханская область
Волгоградская область
Ростовская область
г.Севастополь
Северо-Кавказский федеральный округ
Республика Дагестан
Республика Ингушетия
Кабардино-Балкарская Республика
Карачаево-Черкесская Республика
Республика Северная Осетия - Алания
Чеченская Республика
Ставропольский край
Приволжский федеральный округ
Республика Башкортостан
Республика Марий Эл
Республика Мордовия
Республика Татарстан
Удмуртская Республика
Чувашская Республика
Пермский край
Кировская область
Нижегородская область
Оренбургская область
Пензенская область
Самарская область
Саратовская область
Ульяновская область
Уральский федеральный округ
Курганская область
Свердловская область
Тюменская область
Ханты-Мансийский автономный округ - Югра
Ямало-Ненецкий автономный округ
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)
Челябинская область
Сибирский федеральный округ
Республика Алтай
Республика Тыва
Республика Хакасия
Алтайский край
Красноярский край
Иркутская область
Кемеровская область - Кузбасс
Новосибирская область
Омская область
Томская область
Дальневосточный федеральный округ
Республика Бурятия
Забайкальский край
Республика Саха (Якутия)
Камчатский край
Приморский край
Хабаровский край
Амурская область
Магаданская область
Сахалинская область
Еврейская автономная область
Чукотский автономный округ
